id,bookname,author,publish,originame,translater,ptime,pages,price,zhuangzheng,books,isbn,starts,commentcnt,weburl,bookintro,authorintro
85,扶摇皇后（上下）,天下归元,江苏文艺出版社,无,无,2011-6,749,49.80元,平装,扶摇皇后,9787539945057,7.5,4012,https://book.douban.com/subject/6437035/,前奔！穿越风刀霜剑，看风云起、四海怒、五洲裂、七国争。前奔！遭逢金风玉露，共桃花马、紫金阙、相思恨、此心劫。彪悍盗墓女穿越至强者为尊的五洲大陆，如何跋涉万里，夺得七国之令，最终抵达陆地极北穹苍神殿，完成心里最终的回归执念？而这一路相逢的爱情，是孤峰绝崖、苍山之巅一堆火，是刀光剑影血溅三尺一回眸，是秋日金风清溪流泉一飞袖，还是冷月深林策马长奔一剑袭？当爱情与抉择狭路相逢，谁胜？她说，我能献给你，不过这一身热血，你若不要，我只好放你的血。她说，我一生的所有努力，都在与真爱背道而驰，天意弄人是么？那我就只好弄天吧。裂帛三尺，溅血一丈，扩疆千里，横尸万计。鸾凤一日因风起，扶摇直上九万里。到得天下之巅，与谁见？万里河山人妖娆。,天下归元，女，潇湘书院当家花旦，新穿越小说代表作家。于流光绮丽文字中看见阔大沉雄新天地，遂执笔为文，慢拨心事幺弦，暗设流年陷阱，以中文之温存博大撰文，于惊风密雨、众生色相、十丈软红诸般妄念和魔障中，和有缘相遇的人们，一同行走、思考、存在。其人笔力雄浑，文字幽默，想象力超群；其文编排妙绝，层层递进，感情冲突激烈，情节波澜壮阔，令人热血沸腾。作品点击达数万千，粉丝数以万计。代表作品：《扶摇皇后》、《燕倾天下》、《帝凰》等。粉丝互动微博：http://weibo.com/1714100174
86,亲密关系,[加拿大]克里斯多福·孟,山西经济出版社,"Relationship: Bridge to the Soul",无,2011-3,297,28.00元,平装,None,9787807673811,8.1,2414,https://book.douban.com/subject/6052834/,《亲密关系:通往灵魂的桥梁》简介：在爱与被爱的过程中，我们都曾经历过痛苦、恐惧，也体验过狂喜与极乐，我们渴望建立永恆真挚的亲密关係，却又害怕再度受伤。《亲密关系:通往灵魂的桥梁》是克里斯多福•孟继《找回你的生命礼物》后，又一力作。他告诉我们如何穿透自我障碍，用爱酿造幸福秘方——没有人能年复一年地活在火辣、热情、浪漫的亲密关系之中，但我们能在亲密关系的旅途中，学习面对自己最好以及最糟的特质，学习接受和放手，最终找到通往爱和幸福的桥梁。十二年来，这本书引导美国、加拿大、日本、马来西亚、中国台湾及内地的数十万家庭从“幻灭”走向“和谐和爱”。2005年以来，全国37个亲密关系工作坊将这本书作为指定教程书。这是真实婚姻成功见证者的生命经验。,
87,潜移默化,无,机械工业出版社华章公司,"Undercover User Experience Design",无,2011-6-10,202,36.00元,平装,None,9787111347422,7.9,108,https://book.douban.com/subject/6439419/,用户体验已成为UI设计领域的重要的核心话题。以用户为中心的设计，也是以UX作为考量标准的。如果用户体验有问题，那么，设计产品的使用就会出现巨大障碍。因此，国内很多知名IT和互联网企业，都非常重视自身网络服务和产品的用户体验。《潜移默化：用户体验设计行动指南》是来自一线设计师的实践指南，对于如何让UX在真实的公司中工作并解决实际的问题，本书给出了坦率而有用的建议。读者将学会如何把研究、构思、原型和测试应用于日常的工作流程中；如何在普遍的时间、预算和文化的限制下设计出良好的用户体验。本书对于UI设计师、Web设计师、产品设计师来说，都是一本绝佳的体会和实现用户体验的读物。,"Cennydd和James都是来自Clearleft公司的用户体验设计师。Clearleft公司是一家位于英国布莱顿的Web咨询公司。他们也都是设计师社团的积极参与人员，定期在全球会议（SXSW，EuroIA，Web Apps Summit）上发表演讲，也为很多有影响力的媒体撰稿，（例如A List Apart， Johnny Holland，.net magazine），同时还是UX London的共同发起人（UX London是英国领先的用户体验设计大会）。"
88,七声,葛亮,作家出版社,无,无,2011-4,323,28.00元,平装,None,9787506358019,8.4,1387,https://book.douban.com/subject/6048071/,南京、香港、藏地、北美，一时一地，足迹即为心迹。目光所及，那些久违的人与事。“一均之中，间有七声。”正是这些零落的声响，凝聚为大的和音。城市里万声迭转，《七声》穿析群嚣，放声因惯习而为人所忽略的音响。主人公毛果的成长，贯穿世间故事。祖父母相互照扶的和鸣弦曲、童年玩伴“洪才”的家庭旧事、民间艺人“泥人尹”的跌宕绝唱、木工师傅“于叔叔”的悲喜人生、餐馆弱智女侍“阿霞”身置社会底层的悲哀、女性友人“安”因过度自我所产生的悲剧，偷渡工人“阿德”身不由己的命运，极尽大半生为自己洗刷文革时期罪名、却因好赌而终招凄凉晚景的“老陶”，身处偏远、为爱与信念坚守的藏女英珠，在家变苦痛中迷惘与解脱的华裔青年威廉。他们都是你我身边的凡常人物，其声虽细隐，却与大时代的跫音同奏，一则则人生故事交迭出流动于坊市的主旋律，造就环境的调式。,"葛亮  原籍南京，现居香港。香港大学中文系博士。文字发表于两岸三地。著有小说集《七声》、《谜鸦》、《相忘江湖的鱼》，文化随笔《绘色》等。曾获2008年香港艺术发展奖、首届香港书奖、台湾联合文学小说奖首奖、台湾梁实秋文学奖等奖项。作品入选“当代小说家书系”﹑“二十一世纪中国文学大系”﹑“2008-2009中国小说排行榜”及台湾“2006年度诚品选书”。长篇小说《朱雀》获“亚洲周刊2009年全球华人十大小说”奖。作者也是这一奖项迄今最年轻的获奖人。"
89,脸要穷养，身要娇养（全新图文修订版）,无,湖南科学技术出版社,无,无,2015-6,264,35.00元,平装,None,9787535766489,7.5,500,https://book.douban.com/subject/6389915/,京大学第一医院、北京中医医院、北京妇产医院等北京三甲级医院的数十位妇科主治医师，吸取他们的临床经验和自身养颜实践精华，结合自己的中医理论和实践经验，从女性心理到各种女性常见疾病，从美白去皱到塑身减肥，全面系统地呵护女性的身心美。全书分为五章，分别从女人的心绪、颜面、身形、疾病、特殊时期（经期、孕期）五大方面出发，展示了女性身体最容易出现的问题，女性在美容保养方面思想上的错误认识和容易走入的误区，从专业角度指出众多流传甚广的美容方法的本质，辨别那些所谓新技术、新产品的圈套。并深入剖析问题背后最深层次的原因，给出相应的调理建议和具体的保健方案，不但包括大量的内外兼修保养方法，还有许多简单有效的养颜祛病食疗方，实用、简便、易操作。,佟彤：毕业于北京中医药大学中医系。曾供职于中国中医科学院基础理论研究所，参与国家级“十五”攻关课题“脾虚症的临床与试验研究”，并创办编辑国家级刊物《中国中医基础医学杂志》。现为《北京晨报》首席记者，百度健康名医讲坛主持人，山东卫视《养生》、MSN中文网《名医讲堂》、凤凰网《健康三人行》嘉宾主持，北京卫视《养生堂》、湖南卫视《百科全说》、江苏卫视《万家灯火》、河北卫视《健康56点》等多档健康养生节目的主讲专家。曾出版《脾虚的女人老得快》《体虚的女人先变丑》《不衰老不疲劳的生活》《不上火的好生活》《药房里买得到的传世名方》等健康科普书。
90,这些人，那些事,吴念真,译林出版社,无,无,2011-9,203,28.00元,平装,吴念真作品,9787544717731,8.8,44743,https://book.douban.com/subject/6388661/,"吴念真累积多年、珍藏心底的体会与感动。他写的每个故事，都蕴藏了我们无法预知的生命能量与心灵启发。跟他一起回望人生种种，您将学会包容、豁达与感恩……本书是吴念真导演经历过人生的风风雨雨和最大低潮后，所完成的生命记事。他用文字写下心底最挂念的家人、日夜惦记的家乡、一辈子搏真情的朋友，以及台湾各个角落里最真实的感动。这些人和事，透过他真情挚意的笔，如此跃然的活在你我眼前，笑泪交织的同时，也无可取代的成为烙印在你我心底、这一个时代的美好缩影……特别收录  吴念真近年唯一小说创作《遗书》，写下对胞弟离开人间的真情告白特别邀请  作家雷骧绘制插画，看两位大师以图文激荡出精采火花生命里某些当时充满怨怼的曲折，在后来好像都成了一种能量和养分……这些人、那些事在经过时间的筛滤之后，几乎都只剩下笑与泪与感动和温暖。——《这些人，那些事》",吴念真全方位的创意人、电影人、广告人、剧场人。本名吴文钦。1952年出生于台北县。1973年开始从事小说创作，曾连续三年获得联合报小说奖。1981年起，陆续写了《恋恋风尘》《老莫的第二个春天》《悲情城市》等75部电影剧本，曾获五次金马奖最佳剧本奖、两次亚太影展最佳编剧奖。主持TVBS“台湾念真情”节目三年，舞台剧代表作有《人间条件》系列等。
91,百年孤独,[哥伦比亚]加西亚·马尔克斯,南海出版公司,"Cien años de soledad",范晔,2011-6,360,39.50元,精装,新经典文库:加西亚·马尔克斯作品,9787544253994,9.2,134342,https://book.douban.com/subject/6082808/,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。,"加西亚•马尔克斯（Gabriel García Márquez）1927年出生于哥伦比亚马格达莱纳海滨小镇阿拉卡塔卡。童年与外祖父母一起生活。1936年随父母迁居苏克雷。1947年考入波哥大国立大学。1948年因内战辍学，进入报界。五十年代开始发表文学作品。六十年代初移居墨西哥。1967年出版《百年孤独》。1982年获诺贝尔文学奖。"
92,大话数据结构,程杰,清华大学出版社,无,无,2011-6,440,59.00元,平装,大话系列,9787302255659,7.9,969,https://book.douban.com/subject/6424904/,本书为超级畅销书《大话设计模式》作者程杰潜心三年推出的扛鼎之作！以一个计算机教师教学为场景，讲解数据结构和相关算法的知识。通篇以一种趣味方式来叙述，大量引用了各种各样的生活知识来类比，并充分运用图形语言来体现抽象内容，对数据结构所涉及到的一些经典算法做到逐行分析、多算法比较。与市场上的同类数据结构图书相比，本书内容趣味易读，算法讲解细致深刻，是一本非常适合自学的读物。本书以一个计算机教师教学为场景，讲解数据结构和相关算法的知识。通篇?一种趣味方式来叙述，大量引用了各种各样的生活知识来类比，并充分运用图形语言来体现抽象内容，对数据结构所涉及到的一些经典算法做到逐行分析、多算法比较。与市场上的同类数据结构图书相比，本书内容趣味易读，算法讲解细致深刻，是一本非常适合自学的读物。,一个被读者誉为很适合写IT技术书的家伙。《大话设计模式》作者。此书07年末出版至今已经简体版印刷9次、繁体版印刷6次，取得了较好的成绩，开创了一种适合国人阅读的趣味讲解IT知识的风格模式。其本人参与过政府、证券、游戏、交通等多种行业的软件开发及项目管理工作，也曾做过软件培训的教师。因曾有过两年半高中数学教学的独特经历，使得其书作当中处处以初学者视角考虑和分析问题，他成为了当前很受欢迎的IT技术图书作者之一。博客：http://cj723.cnblogs.com；微博：http://weibo.com/cj723；Email：chengjielong@163.com
93,万象,落落,长江文艺出版社,无,无,2011-7-1,284,39.00元,平装,None,9787535451569,8.0,4861,https://book.douban.com/subject/6511745/,继2008年出版的《不朽》《须臾》三年之后，落落推出第二套系列书——《千秋》《万象》。摄影图文集《万象》收录落落多次旅行中遇见的一些人事物的摄影作品和全新散文，以及近几年创作的最受欢迎的散文作品。说起图文——三年内未必有明显增长水平的摄影，唯一的进化或许是器材，不过多少有看似装模作样地专业摄影师一般，扛着许多器材，大汗淋漓地爬一座被红叶覆盖的无人的山。“照片永远无法拍摄出我们所看到的样子”，这点我依然坚信。但“我们所看到的样子，同样不见得就是世界原本的样子”，这点我也毫不怀疑。我啊，有野心有抱负，有非常骄傲的灵魂，时常势力非常尖刻，但同时，极其消极，极其悲观，非常地惧怕一切麻烦和挫折，很矛盾地却持续地津津有味地与它们一直相处至今。可以把这样的自己，完全地倾诉在千秋万象世界中吧。——落落,"作者简介：落落，女，现居上海备受瞩目的超人气青春文学作家《文艺风象》主编、《最小说-ZUI Silence》文字总监已出版书目：《年华是无效信》、《尘埃星球》、《须臾》、《不朽》《剩者为王》等以美好的少女情怀著称的落落，在青春文学领域常与郭敬明并提，是青年女作家中的佼佼者，迄今为止的单行本销量均超越30万册，在各大市场销量测评排名中名列前茅。落落善于将生活中落尘般的小细节，化作可以想象的文字符号，她以她独特的文学方式改变着新生代文学的面貌，其与众不同的文字魅力恐怕是当前许多青春文学作家都是望尘莫及的。可以说，她创造了一个与当前流行的青春阅读迥异的艺术世界，这个世界像一个魅力独具的王国，受到无数女性读者发自内心的憧憬和喜爱，她的名字也成为现今少女文艺潮流的一个代名词"
94,维特根斯坦传,[英]瑞·蒙克,浙江大学出版社,"Ludwig Wittgenstein: The Duty of Genius",王宇光,2011-6,674,79.00元,平装,启真·思想家,9787308086141,9.1,3946,https://book.douban.com/subject/6152040/,维特根斯坦，20世纪最重要的哲学家之一，语言哲学的奠基人。本书以时间为线索，运用大量生动、翔实的第一手资料描绘维特根斯坦独特的精神世界以及传奇的一生，堪称一流的思想传记。,"作者简介：瑞•蒙克（Ray Monk），南安普顿大学教授，研究领域包括数学哲学、分析哲学的历史，并长期致力于哲学家专记写作。1991年蒙克因《维特根斯坦传：天才之为责任》获得达夫•库珀奖。推荐语：蒙克的《维特根斯坦传》丰富、深入、好读，公认为维特根斯坦的最佳传记。在我看，实是思想家传记中少见的佳作，不仅向我们展现了这位伟大思想家的深刻的灵魂生活，而且有助于我们理解他的哲学思想。译者王宇光中英文俱佳，不辜负原著。——陈嘉映"
95,战争改变历史,无,上海科学技术文献出版社,"War Made New",石祥,2011-3,533,68.00元,平装,None,9787543945623,9.2,144,https://book.douban.com/subject/6090958/,《战争改变历史:1500年以来的军事技术、战争及历史进程》从技术革命角度入手，将1500年以来的军事技术、战争与历史的画卷呈现在读者面前。《战争改变历史》由上海科学技术文献出版社出版。,"马克斯·布特。Max Boot(born 1969)历史学家。获奖著作《为了和平的野蛮战争：小规模战争与美国威权的兴起》的作者，美国对外关系委员会高级成员。从事国家安全问题研究。并任《洛杉矶时报》外交专栏周评员。他定期在多所军事院校进行讲座，同时就军事转型问题为美国国防部提供咨询。"
96,世界別為我擔心,幾米,大塊文化,无,无,2011-2-1,128,"TWD 280",平装,幾米作品,9789862132395,8.6,1947,https://book.douban.com/subject/5940493/,"我從小就是個很會擔心的小孩。消防車往家的方向奔去，我就擔心失火的是我家。老師說考試有人不及格，我就擔心她說的一定是我。朋友約會遲到，我就擔心他是不是出車禍了。聽了鬼故事，就擔心惡鬼上身。我擔心的事情真多，但發現真的值得擔心的事並不多。倒是我沒擔過心的事，卻突如其來地讓人擔心不已。人生到底該多擔心還是不必擔心，真是讓人很擔心──幾米有些人老是擔心， 有些人從不擔心。有些擔心永恆而遙遠， 有些擔心卻是短暫 而迫在眉睫。擔心就像感冒， 一個人擔心後， 會有更多人 緊跟著擔心。好擔心跟別擔心就像一體兩面，一會擔心一會又不擔心。關於這個世界你擔心什麼？--------------------------------------------------------------------------------","幾米1998年開始繪本創作。開啟成人繪本風潮，作品風靡海內外，已有美、法、德、西班牙、希臘、韓、 日、泰等國譯本。多部作品改編為音樂劇、電視劇或電影。根據《微笑的魚》改編的動畫片，榮獲2006年柏林影展國際評審團特別獎。2003年，Studio Voice雜誌選為「亞洲最有創意的五十五人」之一。2007年，Discovery 頻道選為「台灣人物誌」六位傑出人物之一。"
97,MBA教不了的创富课,老雕,当代中国出版社,无,无,2011-1-1,212,28.00元,平装,None,9787801709394,8.4,3761,https://book.douban.com/subject/5921213/,"MBA教不了的创富课：我在30岁之前赚到1000万的经验谈，ISBN：9787801709394，作者：老雕 著",
98,剑桥倚天屠龙史,新垣平,万卷出版公司,无,无,2011-3,208,28.00元,平装,None,9787547013489,8.2,6786,https://book.douban.com/subject/5423803/,《剑桥倚天屠龙史》是新垣平博士恶搞《倚天屠龙记》和正史的戏作。新博士学识渊博，才华横溢，他运用奇妙的想象和精妙的推理，将正史和武侠完美地熔为一炉，写出了这部令所有金迷击节赞叹的奇书。本书最早在天涯论坛连载，轰动一时，被粉丝们疯狂转帖。新博士最具特色的写作手法，是用最严肃的历史叙事笔调来书写最荒诞不经的虚构情节。他将小说和历史双重陌生化，将历史与虚构的界限彻底打破，使得历史书写成为纯粹的文本游戏。这游戏是意义机制自身的狂欢，也是一场智力的盛宴！,新垣平博士，从西汉穿越到现在的大神，“仗剑天涯”最具人气的鬼才作家。学杂中西，尤好武侠。著奇书《剑桥倚天屠龙史》一部，行文诡异，亦庄亦谐，可以解颐，可以佐酒。
99,夜航西飞,[英]柏瑞尔·马卡姆,人民文学出版社,"West with the Night",陶立夏,2010-12,280,29.00元,平装,99畅销文库,9787020083343,8.8,5145,https://book.douban.com/subject/5366382/,《夜航西飞》以二十世纪二十至三十年代的肯尼亚为背景，真实再现了作者在非洲的生活，其中包括她毕生钟爱的两项有趣又传奇的事业——训练赛马和驾驶飞机。柏瑞尔•马卡姆以非常动人的文字，铺陈出她在非洲度过的童年、她参与狩猎的情景、她与当地土著的情谊、她训练赛马的过程，以及她独自驾驶单翼双座木螺旋桨飞机，在东部非洲从事职业飞行并猎队搜寻大象踪迹的往事；还详细描述了她从非洲驾机回英国沿途所遭遇到的政治与自然险阻；最后更记录了她在一九三六年九月独自驾机从英国飞越大西洋直抵北美的经过。,"柏瑞尔•马卡姆（Beryl Markham）一九〇二年十月二十六出生于英国莱斯特郡，四岁时随父亲到了肯尼亚。她先是跟随父亲训练赛马，十八岁便成为非洲首位持赛马训练师执照的女性。一九三一年开始，她驾驶小型飞机在东部非洲载运邮件、乘客和补给物品，成为非洲第一位职业女飞行员。 一九三六年九月，她从英国出发，驾驶飞机一路向西飞行，最后在加拿大迫降，费时二十一小时二十五分，成为第一位单人由东向西飞越大西洋的飞行员。一九四二年，《夜航西飞》首次出版。一九五〇年，她回到肯尼亚，重操赛马训练师的职业，直到一九八六年八月三日，她在内罗毕自己的家里突然辞世。《夜航西飞》精彩插图大赏：http://www.douban.com/photos/album/39144371/"
100,无价,[美]威廉·庞德斯通,华文出版社,"Priceless: The Myth of Fair Value",无,2011-1,255,49.80元,平装,湛庐文化·财富汇,9787507534115,8.0,2852,https://book.douban.com/subject/5914475/,"为什么免费的巧克力让我们疯狂？为什么百老汇剧场里价格越高的位置卖得越火？为什么100 万美元带来的愉悦感，400万美元才能让它翻倍？为什么议价时，一定要抢先报价，而且一定要狮子大开口？威廉·庞德斯通告诉我们答案：价格只是一场集体幻觉。在心理学实验里，人们无法准确地估计“公平价格”，反而受到无意识、不理性、政治等不正确因素的强烈影响。营销专家们很快就把这些发现应用了起来。“价格顾问”建议零售商怎样说服顾客多付钱或少付钱，谈判教练也提供类似的建议帮商务人士谈成交易。全新的价格心理学要求商家设计价签、菜谱、返款优惠等。 可以说，价格是最为普遍的隐形说服大师。","威廉·庞德斯通 美国 作家、怀疑论者。 曾在麻省理工学院学习物理学，现定居于洛杉矶； 长期为《纽约时报》、《经济学家》等知名报刊以及美国一些电视台撰稿，是《哈帕斯》杂志和《纽约时报》书评专栏的长期撰稿人； 迄今已出版著作十余部，主要著作有《财富公式：玩转拉斯 维加斯和华尔街的故事》（2008年，万卷出版公司）《操纵选票：为什么电子计票器不公平》《如何移动富士山》《卡尔·萨根》《囚徒的抉择》《推理迷宫》等以及《大秘密》、《更大秘密》、《最大秘密》系列。其中《循环的宇宙》、《推理的迷宫》曾获普利策奖提名。"
101,华胥引（全二册）,唐七公子,现代出版社,无,无,2011-1,448,39.80元,平装,None,9787802443914,8.4,41000,https://book.douban.com/subject/5916880/,《华胥引(套装共2册)》主要内容包括：华胥一引，乱世成殇。琴弦震响于九州列国之上，无声惊动。这是一个发生在乱世的故事。城破之日，卫国公主叶蓁以身殉国，依靠鲛珠死而复生。当她弹起华胥调，便生死人肉白骨，探入梦境与回忆。幻术构成的曲谱里，尽是人世的辛酸与苦涩。而她与亡她国家的陈国世子一次一次于幻境中相遇，身份两重，缘也两重。清平华胥调，能不能让每个人追回旧日的思念，不再悲伤？,"唐七公子： 中学时看王尔德的书，里边有句话一直记着。他说，一个人想恢复青春，只消重演过去干的蠢事就够了。倒并不是觉得他说得好，不知道怎么就记到现在了。如今，我每天都在干蠢事，一边青春着，一边觉得继续这么青春下去有点不妙。出版有作品《华胥引》《岁月是朵两生花》《三生三世十里桃花》等"
102,亲密关系（第5版）,无,人民邮电出版社,"Intimate Relationship",无,2011-1-1,430,68.00元,平装,社会心理学精品译丛,9787115246882,9.0,4034,https://book.douban.com/subject/5952488/,爱情是人类情感中最美妙的一种体验，古今中外关于爱情的伟大文学作品有许多，但从心理学角度对两性关系进行科学而系统总结的专著尚为数不多。《亲密关系》从一出版，就立即获得了读者的普遍喜爱，不仅得到了专业人士的首肯，更是得到普通读者的高度评价。作者综合了心理学多个分支的研究理论和成果，用饶有趣味的论述，总结出人们在交往与沟通、爱情与承诺、婚姻与性爱、嫉妒与背叛等方面的行为特点和规律。本书内容丰富、语言优美；既注重专业性，有强调可读性。研究亲密关系的专业人士可以从中得到学习和参考；而对于社会大众来说，只要他（她）想获得一份满意的亲密关系，都可以从中得到启发。,"罗兰·米勒（Rowland S Miller）:美国休斯顿州立大学心理学教授，从事亲密关系教学25年之久，于2008年荣获人际关系研究国际学会卓越教学奖，并获得美国心理学会和Psi Chi的Edwin Newman杰出研究奖。丹尼尔·珀尔曼（Daniel Perlman）：美国北卡罗来那州立大学教授，从事家庭问题研究长达30年，曾经担任人际关系国际研究学会主席。"
103,女孩子的手编小饰品111款,[日]靓丽出版社,河南科学技术出版社,无,无,2011-1,120,25.00元,平装,None,9787534947315,8.6,134,https://book.douban.com/subject/5942543/,本书收录了111款缎带、蕾丝、尼龙绳和棉绳等常用材料制作的项链、手链、脚链、手机挂链等小饰物，大部分作品都是目前亚洲、欧洲、美洲最流行的款式，每一款设计都独具匠心、个性张扬，并且编织方法简单，非常适合年轻人的时尚追求。,
104,自由在高处,熊培云,新星出版社,无,无,2011-1,320,30.00元,平装,新星·熊培云作品,9787513301329,8.0,10718,https://book.douban.com/subject/5401989/,《自由在高处》是作者对《重新发现社会》一书的重要补充。旨在从个体角度探讨身处转型期的人们如何超越逆境，盘活自由，拓展生存，积极生活。帕得里克说“不自由，毋宁死”，熊培云则说“不自由，仍可活”。自由与自救，是本书的方向与重点。,"1973年生于江西农村。毕业于南开大学、巴黎大学，主修历史学、法学与传播学。思想国网站创始人。过去或现在与熊培云写作相关的职业主要有：《南风窗》杂志驻欧洲记者；《新京报》首席评论员；《南方都市报》、《南方周末》、《东方早报》、《亚洲周刊》、《凤凰周刊》等知名媒 体专栏作家、社论作者及特约撰稿人；南开大学副教授、硕士生导师。其文字沟通理性与心灵，自由、明辨、宽容、温暖。近年来在海内外华文媒体发表评论、随笔千余篇，致力于建设一个人道的、人本的、宽容的、人人皆可自由思想的中国与世界。代表作有《重新发现社会》（新星出版社）、《思想国》（中国友谊出版公司），译著有《中国之觉醒》（法文，香港田园书屋）。"
105,说话就是生产力,孙路弘,鹭江出版社,无,无,2010-11-1,195,32.00元,平装,None,9787545902426,8.3,408,https://book.douban.com/subject/5360180/,倾听就是不打断别人说话吗?跟上级沟通应该注意些什么?踱同事沟通又该注意些什么?怎样说话才是对事不对人?……说话是一门艺术。准确表达想法往往会取得意想不到的效果，而表达失误则常常导致祸从口出。然而，不会说话的人比比皆是。面试失败、推销被拒、无法说服上司、同事反感、家庭关系恶化，都是不会说话惹的祸。本书就教你一套出口成章、掷地有声的说话方法，以理性调控感性，以效用带动效率，以智商引领情商，快速有效地提升沟通能力。,"孙路弘，一个常被误认为六十多岁的60后。一天写1篇千字文，一周看3部电影，一个月读10本书，每半年有90天给企业进行实战内训，一年写1本书的国际空中飞人。北京师范大学数学系毕业，永远在用绰绰有余的逻辑思维能力观察复杂多变的生活。    营销及销售行为专家，高级营销顾问。著有《汽车销售的第一本书》《用脑拿订单——销售中的全脑博弈》《看电影学销售》《看电影学管理》《销售必读的24本书》等。"
106,重来,无,中信出版社,Rework,无,2010-10,236,36.00元,平装,重来,9787508623610,8.3,6358,https://book.douban.com/subject/5320866/,大多数的企业管理的书籍都会告诉你：制定商业计划、分析竞争形势、寻找投资人等等。如果你要找的是那样的书，那么把这本书放回书架吧。这本书呈现的是一种更好、更简单的经商成功之道。读完这本书，你就会明白为什么计划实际上百害而无一益，为什么你不需要外界投资人，为什么将竞争视而不见反倒会发展得更好。事实是你所需要的比你想象的少得多。你不必成为工作狂，你不必大量招兵买马，你不必把时间浪费在案头工作和会议上，你甚至不必拥有一间办公室。所有这些都仅仅是借口！用直截了当的语言和崇尚简约的方式，《重来》是每一个梦想着拥有自己的事业的人的完美指南。不管是作为中坚力量的企业家、小企业主，还是深陷令人不快的工作中的职场中人、被炒鱿鱼的受害者，抑或是想要“脱贫”的艺术家，都能在这一页页中找到弥足珍贵的指引。,"Jason Fried，37signals的合伙创立人，倡导软件极简主义，相信简约之美，尊重简单和坦诚做事，并把这些思想运用到创业过程和产品开发之中，拥有一大批IT粉丝。David Heinemeier Hansson  出生于丹麦，编制并创建了网络开发框架Ruby on Rails，此框架让无数程序员受益，被称为是程序员的“基本开发环境”（“basic development  environment”）。大卫和贾森一起创立了37signals。"
107,走向春天的下午,幾米,现代出版社,几米,无,2010,112,45.00元,平装,幾米作品,9787802444447,8.6,4772,https://book.douban.com/subject/5243268/,云的上面是天堂，天堂的天空也有云吗？这是一个春天的下午，我知道，前方某处，将会有人给我一个拥抱。本书描绘了一个小女孩带着对朋友的回忆去履行和朋友的约定的故事。作者用童真的笔调和对孩童心理的细腻把握，将一个孩子成长的心灵历程温暖呈现。画面感人，主题充满温暖的希望。这是几米在创作巅峰期又一本带给读者无限感动的作品。,
108,我不是完美小孩,幾米,海豚出版社,无,无,2011-4,128,38.00元,平装,幾米系列,9787511004345,8.4,4924,https://book.douban.com/subject/6007431/,本书描述了一个三年级小女生郝完美在学习、生活，尤其是与大人相处中的困惑与烦恼。大人从长大的那一天起就开始留恋和怀念童年的美好，幻想能再次回到童年，经历了生活磨练的大人也更能懂得“郝完美”同学的呐喊。大家好，我叫“郝完美”，现在读小学三年级。这个名字是爸妈为我取的。他们说，我小时候，不管正面看背面看，醒着睡着，或笑或哭，我看起来都好完美。可是，随着我慢慢长大，事情就变了……爸妈的要求愈来愈多，学校的要求愈来愈严。我觉得很累，真想大叫：我不是完美小孩啦！我想知道，世界上有多少人跟我一样觉得自己不完美。所以我鼓起勇气站上台，讲出我对于这件事的想法。所有放弃追求完美的小孩和大人，欢迎来听讲。,"绘本作家。1998年开始创作，著有《听 幾米 唱歌》《镜子里的小孩》《地下铁》《幸运儿》《微笑的鱼》《向左走向右走》等30多种作品，在中国大陆地区10多年来经久不衰，形成了一场 幾米 绘本热潮， 幾米 绘本在大陆拥有数量庞大的稳定读者。并已有美、法、德、希腊、韩、日、泰等国的译本。多部作品改编为音乐剧、电视剧和电影，动画《微笑的鱼》并荣获 2006年柏林影展国际评审团特别奖。2007年Discovery“台湾人物志”六位杰出人物之一。"
109,大而不倒,安德鲁·罗斯·索尔金,中国人民大学出版社,"Too big to fail",无,2010-9,620,69.80元,软精,None,9787300126579,8.4,2241,https://book.douban.com/subject/5297291/,该书通过一幕幕生动的场景描述，向读者客观而详尽地展现了金融危机发生之后美国主要监管机构和投行的众生相。在这部作品中，你可以看到雷曼是如何一步步地自断生路，监管机构是如何在“政治正确”的牵绊下做出选择，各大投行又是如何在人人自危的环境下力求自保。前所未有的访谈，不曾公开的华尔街决策内幕，揭示了美国经济萧条如何发展成全球金融危机，再现了从银行到政府再到整个美国身处金融危机第一现场的反应。,"安德鲁•罗斯•索尔金（Andrew Ross Sorkin）《纽约时报》首席记者及专栏作家，2001年创立了纽约时报的在线财经报道网站。2004年获得美国财经新闻界荣誉杰洛德•罗布奖，2005年和2006年他的新闻再次获得美国商业新闻奖和作家学会奖。2007年，世界经济论坛提名他为全球青年领袖之一。"
